SampleID,Fire,Transect,Replicate,Timepoint,Kingdom,BurnCat,Date,Timeframe,otu.H.fun,otu.N1,otu.N2,S.obs,initialchar,OM,P1,HCO3_P,PH,K,NA.,H,CEC,S,CopyNumber,PCA1,PCA2
FSRPL3BT1,Tenaja,L3,B,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,4.374723233,79.41785627,30.80258077,323,48.5,5.2,11.7,8.5,6.1,220.8,39.3,2,14.4,10.1,50481.22913,-0.271052877,-0.146113821
FSRPL3BT2,Tenaja,L3,B,Nov,Fungi,Burned,19-Nov-19,2.5 Months,4.062106028,58.09653524,18.00916632,300,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,57594.30481,-0.271052877,-0.146113821
FSRPL3CT1,Tenaja,L3,C,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,4.732312126,113.557819,56.40726462,360,35,6.6,15.1,11.7,6.2,170.4,34.7,1.7,14.3,12.9,96133.23789,-0.615725042,-1.36960145
FSRPL3CT2,Tenaja,L3,C,Nov,Fungi,Burned,19-Nov-19,2.5 Months,4.818171189,123.7385893,74.09954611,296,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,110774.8398,-0.615725042,-1.36960145
FSRPL3DT1,Tenaja,L3,D,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,4.456616961,86.19541282,36.47449937,329,91.5,6.7,10.7,9.6,6.1,187.8,55.5,2.8,20.3,10.5,52610.47166,-0.183947031,-2.669435883
FSRPL3DT2,Tenaja,L3,D,Nov,Fungi,Burned,19-Nov-19,2.5 Months,4.207042209,67.15760759,22.83924072,273,91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,93099.27723,-0.183947031,-2.669435883
FSRPL3ET1,Tenaja,L3,E,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,4.014114818,55.37425743,12.18621186,268,86,5.5,17.1,9.8,6,233.2,16.2,1.2,7.9,9.3,52881.95298,-0.22359203,1.833540523
FSRPL3ET2,Tenaja,L3,E,Nov,Fungi,Burned,19-Nov-19,2.5 Months,4.494709039,89.5421119,40.18245196,350,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,81142.08302,-0.22359203,1.833540523
FSRPL1p5AT3,Tenaja,L1.5,A,May,Fungi,Unburned,13-May-20,7 Months,4.363867484,78.56037868,40.58824636,229,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,48463.58449,1.282895777,1.432042774
FSRPL1AT3,Tenaja,L1,A,May,Fungi,Unburned,13-May-20,7 Months,4.652799752,104.8782078,64.01842479,262,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11163.79161,-0.821659547,2.596290137
FSRPL1BT3,Tenaja,L1,B,May,Fungi,Burned,13-May-20,7 Months,3.808783034,45.09552574,18.65566348,205,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,19196.43993,-0.838969291,2.092531878
FSRPL1CT3,Tenaja,L1,C,May,Fungi,Burned,13-May-20,7 Months,4.215042015,67.69701011,29.68069862,225,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,29288.36611,-0.9028797,2.110805255
FSRPL1DT3,Tenaja,L1,D,May,Fungi,Burned,13-May-20,7 Months,3.092598646,22.0342629,6.104404736,138,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,44752.10243,-4.760419831,0.652669189
FSRPL1ET3,Tenaja,L1,E,May,Fungi,Burned,13-May-20,7 Months,3.784155213,43.99848552,19.75656548,164,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,17093.3154,-2.398641485,-0.120484914
FSRPL2p5AT3,Tenaja,L2.5,A,May,Fungi,Unburned,13-May-20,7 Months,4.297527356,73.51778549,30.34754309,219,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,99778.31676,0.000317876,-2.365987428
FSRPL2AT3,Tenaja,L2,A,May,Fungi,Unburned,13-May-20,7 Months,4.674238576,107.1509487,63.86150541,219,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,70812.91573,0.036321438,-0.134019692
FSRPL2BT3,Tenaja,L2,B,May,Fungi,Burned,13-May-20,7 Months,3.984446611,53.75553352,21.98429068,175,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,41205.09475,-0.46173447,-1.063635938
FSRPL2CT3,Tenaja,L2,C,May,Fungi,Burned,13-May-20,7 Months,4.18945695,65.98694704,27.21259648,234,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,30161.25314,-0.068577528,-2.516905581
FSRPL2DT3,Tenaja,L2,D,May,Fungi,Burned,13-May-20,7 Months,4.318771557,75.09632005,44.40476068,202,91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,30700.2914,-0.845734752,-1.330318808
FSRPL2ET3,Tenaja,L2,E,May,Fungi,Burned,13-May-20,7 Months,3.933445281,51.08266897,26.7448721,191,86.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,234505.3438,-2.863059187,-1.902841931
FSRPL3AT3,Tenaja,L3,A,May,Fungi,Unburned,13-May-20,7 Months,4.366266357,78.74906128,34.09891813,217,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,70976.93775,-0.764925133,0.323356252
FSRPL3BT3,Tenaja,L3,B,May,Fungi,Burned,13-May-20,7 Months,4.188745784,65.94003606,22.40322228,166,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,79968.04803,-0.271052877,-0.146113821
FSRPL3CT3,Tenaja,L3,C,May,Fungi,Burned,13-May-20,7 Months,4.63729497,103.2646355,59.63938779,252,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,60237.33033,-0.615725042,-1.36960145
FSRPL3DT3,Tenaja,L3,D,May,Fungi,Burned,13-May-20,7 Months,4.520886182,91.91701706,51.23686185,234,91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,44596.91552,-0.183947031,-2.669435883
FSRPL3ET3,Tenaja,L3,E,May,Fungi,Burned,13-May-20,7 Months,4.438783638,84.67188735,48.89591045,199,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,35441.66577,-0.22359203,1.833540523
