SampleID,Fire,Transect,Replicate,Timepoint,Kingdom,BurnCat,Date,Timeframe,otu.H,otu.N1,otu.N2,S.obs,initialchar,OM,P1,HCO3_P,PH,K,NA.,H,CEC,S,CopyNumber,PCA1,PCA2
B62BU1BT5,Burro,L1,B,May,Bacteria,Burned,23-May-19,12 Months,6.683845659,799.3873795,563.9662921,1177,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,665362.8655,1.202295106,-0.16452721
B63BU1CT5,Burro,L1,C,May,Bacteria,Burned,23-May-19,12 Months,6.564801778,709.6712095,467.0688155,1087,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,652342.7123,0.606038554,-0.180943079
B64BU1DT5,Burro,L1,D,May,Bacteria,Burned,23-May-19,12 Months,6.493080861,660.5553108,441.6575392,1002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,624529.8663,-1.238895575,0.872359444
B65BU1ET5,Burro,L1,E,May,Bacteria,Burned,23-May-19,12 Months,6.728847452,836.1829693,582.7051082,1230,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,527259.8909,1.185138457,1.235264657
B66BU2AT5,Burro,L2,A,May,Bacteria,Unburned,23-May-19,12 Months,6.354244271,574.9276869,401.7069683,893,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,528046.7076,1.100600318,-0.073701851
B67BU2BT5,Burro,L2,B,May,Bacteria,Burned,23-May-19,12 Months,6.201873953,493.6732956,351.983351,742,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,655459.3397,1.495037877,0.474895386
B68BU2CT5,Burro,L2,C,May,Bacteria,Burned,23-May-19,12 Months,6.205607679,495.5199815,349.1187558,764,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1937685.864,1.586317996,-0.064742764
B69BU2DT5,Burro,L2,D,May,Bacteria,Burned,23-May-19,12 Months,6.155274776,471.196298,340.0185212,714,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,4992388.374,-0.64149075,0.977548544
B70BU2ET5,Burro,L2,E,May,Bacteria,Burned,23-May-19,12 Months,6.126983127,458.0521888,312.4923708,703,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54721143.8,1.638918141,0.496417665
B71BU3AT5,Burro,L3,A,May,Bacteria,Unburned,23-May-19,12 Months,6.204054179,494.7507888,341.061571,750,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18531057.59,1.51353906,-0.722742335
B72BU3BT5,Burro,L3,B,May,Bacteria,Burned,23-May-19,12 Months,6.008881342,407.0277406,306.2015197,590,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,697404.6838,1.615859153,-1.142222092
B73BU3CT5,Burro,L3,C,May,Bacteria,Burned,23-May-19,12 Months,6.229944129,507.7271154,366.5410316,766,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,534243.083,1.078892681,-0.661429339
B74BU3DT5,Burro,L3,D,May,Bacteria,Burned,23-May-19,12 Months,6.383097675,591.7579451,420.9193034,878,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,615901.8568,1.401336979,0.954914538
B75BU3ET5,Burro,L3,E,May,Bacteria,Burned,23-May-19,12 Months,6.425574263,617.4352857,417.4510269,934,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,540196.1388,1.202591467,-0.795755391
BSRPL1AT1,Tenaja,L1,A,1st Postfire,Bacteria,Unburned,5-Nov-19,2 Months,5.981563438,396.0590981,301.1769982,559,0,4.5,55.3,29.5,5.9,151.2,19.2,2.2,12.9,5.7,485508.1626,-0.821659547,2.596290137
BSRPL1AT2,Tenaja,L1,A,Nov,Bacteria,Unburned,19-Nov-19,2.5 Months,5.782169928,324.4624873,258.9108573,448,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,739323.9757,-0.821659547,2.596290137
BSRPL1BT1,Tenaja,L1,B,1st Postfire,Bacteria,Burned,5-Nov-19,2 Months,5.956537389,386.2703021,292.1128003,540,93,4.1,54.7,28.4,6.1,111.6,27.2,1.9,13.9,6.8,487488.0172,-0.838969291,2.092531878
